股票代码,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(万元),当日总市值(十万元),当日流通市值(十万元),当日总股本(万股),当日流通股本(万股),当日自由流通股本(万股),换手率(%),换手率(自由流通股),市盈率,市盈率(TTM),市净率
399001.SZ,20251205,13020.2872,13164.4842,12938.349,13147.6769,13006.7169,140.96,1.08%,669303064.0,100902885.83,271576564.72,236599881.8,131277719.72,116528164.73,66216418.4,1.7,2.99,32.6,30.18,2.63
399001.SZ,20251204,12957.8036,13042.9555,12881.56,13006.7169,12955.2534,51.4635,0.40%,634198084.0,92524725.23,268867154.82,234235475.14,131277653.47,116527290.28,66215546.79,1.41,2.48,32.27,29.88,2.61
399001.SZ,20251203,13071.1572,13126.6706,12922.6751,12955.2534,13056.7009,-101.4475,-0.78%,691706046.0,102279574.47,268072718.91,233483389.07,131270760.28,116520397.2,66207710.0,1.61,2.84,32.18,29.79,2.57
399001.SZ,20251202,13130.0724,13132.8065,13011.1072,13056.7009,13146.7162,-90.0153,-0.68%,643851126.0,96598959.03,270078327.27,235159309.55,131269652.72,116522712.66,66209750.84,1.43,2.52,32.42,30.02,2.62
399001.SZ,20251201,13038.156,13149.3978,12993.8872,13146.7162,12984.0808,162.6354,1.25%,694440764.0,108827947.98,271871039.7,236735436.64,131269534.68,116522594.79,66210124.73,1.68,2.96,32.63,30.22,2.64
399001.SZ,20251128,12869.6609,13000.0653,12834.0845,12984.0808,12875.1949,108.8859,0.85%,611391068.0,94004040.93,268745601.61,233860124.44,131266720.53,116519901.21,66207370.01,1.37,2.41,32.26,29.87,2.61
399001.SZ,20251127,12903.911,13082.7703,12863.259,12875.1949,12907.8335,-32.6386,-0.25%,637558377.0,101127450.67,266559783.19,232033369.86,131263887.5,116517069.76,66200234.73,1.49,2.63,32.0,29.62,2.59
399001.SZ,20251126,12769.927,13012.3282,12749.0194,12907.8335,12777.3128,130.5207,1.02%,686733778.0,108232661.15,267192792.99,232578839.57,131263857.81,116484068.21,66187984.67,1.61,2.83,32.07,29.7,2.59
399001.SZ,20251125,12692.0893,12882.8068,12684.294,12777.3128,12585.0844,192.2284,1.53%,699842030.0,108935857.45,265124745.48,230674423.46,131263806.28,116484053.68,66179742.5,1.74,3.07,31.82,29.47,2.57
399001.SZ,20251124,12605.1311,12655.293,12448.32,12585.0844,12538.071,47.0134,0.38%,689953294.0,101223428.17,261761922.03,227607398.64,131262702.71,116482989.33,66149923.85,1.7,2.99,31.42,29.09,2.54
399001.SZ,20251121,12752.7224,12812.375,12538.071,12538.071,12980.8183,-442.7473,-3.41%,811578932.0,114072955.73,260759327.01,226798688.03,131262697.28,116483000.11,66149067.95,2.0,3.53,31.3,28.98,2.53
399001.SZ,20251120,13215.0657,13226.0358,12970.5575,12980.8183,13080.086,-99.2677,-0.76%,673147680.0,99684744.33,269305284.25,233855121.86,131262687.74,116412990.57,66141048.15,1.63,2.88,32.33,29.93,2.61
399001.SZ,20251119,13071.9397,13164.9669,13009.0088,13080.086,13080.4886,-0.4026,-0.00%,695235913.0,100499969.48,271456784.88,235606128.4,131245175.51,116395478.35,66122692.28,1.61,2.83,32.58,30.17,2.63
399001.SZ,20251118,13161.7044,13223.1218,13022.4436,13080.4886,13202.0045,-121.5159,-0.92%,788847182.0,113511912.38,271615758.51,235717064.34,131185362.59,116395285.24,66121888.82,1.94,3.42,32.6,30.19,2.64
399001.SZ,20251117,13200.5432,13251.7755,13137.2809,13202.0045,13216.0314,-14.0269,-0.11%,748687700.0,110505795.31,274233142.68,237858957.21,131181030.75,116390925.48,66117529.06,1.76,3.11,32.92,30.48,2.66
399001.SZ,20251114,13323.4513,13394.0632,13216.0314,13216.0314,13476.5213,-260.4899,-1.93%,769416240.0,112010942.13,274930955.36,238486673.66,131170704.71,116375087.69,66116700.44,1.81,3.18,33.0,30.56,2.67
399001.SZ,20251113,13228.5012,13488.6308,13222.7805,13476.5213,13240.6158,235.9055,1.78%,748084542.0,116556118.79,279917330.51,242734239.68,131170735.03,116317368.38,66116326.01,1.85,3.26,33.6,31.11,2.72
399001.SZ,20251112,13240.703,13312.5295,13120.7121,13240.6158,13289.005,-48.3892,-0.36%,731002669.0,110456701.19,275231391.17,238652841.22,131170745.61,116301759.31,66112191.02,1.83,3.22,33.04,30.59,2.67
399001.SZ,20251111,13476.2453,13493.1673,13271.6749,13289.005,13427.6123,-138.6073,-1.03%,733580236.0,113522389.49,276328885.21,239512382.67,131170606.29,116301619.98,66111668.29,1.84,3.24,33.17,30.71,2.68
399001.SZ,20251110,13453.3662,13502.1644,13306.6617,13427.6123,13404.0556,23.5567,0.18%,757097253.0,121386532.97,278819939.63,241781001.08,131157969.94,116290079.95,66095071.9,2.06,3.63,33.47,30.99,2.71
399001.SZ,20251107,13380.3536,13496.6966,13322.6095,13404.0556,13452.4168,-48.3612,-0.36%,700567747.0,112356651.05,277783729.62,240975928.52,131157085.65,116288230.86,66093072.81,1.88,3.3,33.34,30.87,2.7
399001.SZ,20251106,13272.4663,13468.4012,13272.4663,13452.4168,13223.5593,228.8575,1.73%,708963302.0,112497213.02,278575796.12,241563865.24,131157099.82,116251301.7,66088105.2,1.86,3.28,33.44,30.96,2.7
399001.SZ,20251105,12953.8414,13273.2351,12953.8414,13223.5593,13175.2208,48.3385,0.37%,702201489.0,104520767.22,274063022.88,237644545.1,131156989.67,116250541.23,66078368.44,1.73,3.05,32.9,30.46,2.66
399001.SZ,20251104,13373.5505,13399.9241,13094.2146,13175.2208,13404.0636,-228.8428,-1.71%,682919687.0,106281965.9,273255865.16,236894861.52,131140507.81,116234616.93,66052871.48,1.79,3.14,32.8,30.37,2.65
399001.SZ,20251103,13364.4188,13404.0636,13158.3065,13404.0636,13378.2118,25.8518,0.19%,716885878.0,116542705.3,277831261.72,240842085.36,131140509.96,116234598.97,66043318.3,2.01,3.54,33.35,30.88,2.7
399001.SZ,20251031,13517.174,13618.1507,13378.2118,13378.2118,13532.1259,-153.9141,-1.14%,745760929.0,128668777.8,277405481.91,240470593.26,131143957.78,116238147.3,66045491.21,2.3,4.05,33.3,30.83,2.69
399001.SZ,20251030,13661.6093,13700.2517,13509.2418,13532.1259,13691.3829,-159.257,-1.16%,773249172.0,135161822.09,280301869.84,243037989.37,131141462.98,116231487.79,66048560.07,2.28,4.01,33.65,30.82,2.74
399001.SZ,20251029,13484.0129,13691.3829,13475.6476,13691.3829,13430.1031,261.2798,1.95%,730709746.0,128781440.85,283358528.22,245737594.13,131151623.4,116241629.6,66047372.23,2.08,3.66,34.01,31.4,2.78
399001.SZ,20251028,13411.6676,13572.9047,13375.3224,13430.1031,13489.4032,-59.3001,-0.44%,682532175.0,120709881.37,278321884.81,241326561.29,131133402.51,116223499.37,66013916.23,1.9,3.34,33.41,30.96,2.74
399001.SZ,20251027,13448.9151,13510.7081,13346.8121,13489.4032,13289.1841,200.2191,1.51%,724022532.0,129672749.23,279505440.67,242467059.31,131130393.12,116220368.65,65969595.85,2.15,3.78,33.55,31.26,2.76
399001.SZ,20251024,13091.3369,13289.1841,13091.3369,13289.1841,13025.4461,263.738,2.02%,652544989.0,111571784.28,275560100.2,238989032.75,131126532.9,116216516.39,65907350.78,1.77,3.12,33.08,31.03,2.73
399001.SZ,20251023,12959.4151,13042.3357,12803.8567,13025.4461,12996.6083,28.8378,0.22%,614713854.0,92497849.0,271027081.54,234948241.69,131121647.17,116215818.24,65911944.33,1.57,2.76,32.53,30.54,2.69
399001.SZ,20251022,12985.9621,13078.6432,12932.0116,12996.6083,13077.3164,-80.7081,-0.62%,593388177.0,92633152.17,270282016.66,234329224.83,131105527.77,116213206.86,65902719.59,1.39,2.45,32.44,30.47,2.68
399001.SZ,20251021,12880.1659,13100.0821,12848.3172,13077.3164,12813.2077,264.1087,2.06%,635613699.0,103595593.57,271949814.38,235625262.1,131105093.68,116206051.28,65889608.32,1.66,2.92,32.64,30.54,2.7
399001.SZ,20251020,12877.6999,12948.3188,12742.8379,12813.2077,12688.936,124.2717,0.98%,582877735.0,96510198.48,267194178.95,231319628.02,131105552.85,116206483.06,65847167.31,1.6,2.83,32.07,30.22,2.66
399001.SZ,20251017,13060.2417,13091.7593,12677.4379,12688.936,13086.4092,-397.4732,-3.04%,667473474.0,106493475.82,265081547.12,229406047.78,131104915.86,116104662.47,65823165.63,1.92,3.38,31.82,30.02,2.64
399001.SZ,20251016,13064.2579,13218.1656,13033.3715,13086.4092,13118.7542,-32.345,-0.25%,630427149.0,106187325.17,272944647.38,236161142.27,131104219.57,116103154.61,65821657.78,1.83,3.24,32.76,30.92,2.72
399001.SZ,20251015,12919.2693,13123.2813,12817.8881,13118.7542,12895.1076,223.6466,1.73%,664972504.0,111130635.81,273708050.02,236881526.01,131104146.08,116083880.74,65797726.75,2.0,3.53,32.85,31.01,2.72
399001.SZ,20251014,13369.5606,13405.5088,12844.0241,12895.1076,13231.4656,-336.358,-2.54%,781349621.0,136624953.39,269555040.01,233185492.54,131101836.13,116082389.03,65797726.75,2.57,4.53,32.36,30.53,2.68
399001.SZ,20251013,12837.2507,13256.5132,12837.2507,13231.4656,13355.4185,-123.9529,-0.93%,742486461.0,126932703.2,275554577.55,238509327.01,131103058.87,116083611.78,65797435.5,2.4,4.23,33.08,31.21,2.74
399001.SZ,20251010,13633.1868,13644.5129,13304.6013,13355.4185,13725.5569,-370.1384,-2.70%,780098601.0,138348698.74,278188921.43,240815002.07,131103045.44,116033813.41,65797071.57,2.55,4.5,33.39,31.51,2.77
399001.SZ,20251009,13598.3534,13806.6929,13565.2944,13725.5569,13526.5091,199.0478,1.47%,796986885.0,143630810.0,284881306.69,246709972.24,131071959.01,116009805.04,65776344.62,2.79,4.93,34.2,32.27,2.83
399001.SZ,20250930,13504.6471,13598.1775,13460.3194,13526.5091,13479.4278,47.0813,0.35%,658434832.0,120813587.72,280614430.68,242925944.9,131072044.25,115984305.29,65773834.97,2.18,3.85,33.68,31.79,2.79
399001.SZ,20250929,13248.1977,13531.9771,13239.7274,13479.4278,13208.9965,270.4313,2.05%,675803476.0,119324909.39,279414601.28,241951583.36,131072911.79,115983892.22,65772354.58,2.26,3.99,33.54,31.65,2.78
399001.SZ,20250926,13394.7858,13453.8555,13205.6285,13208.9965,13445.8956,-236.8991,-1.76%,694451360.0,121902055.62,274155510.38,237308944.07,131070914.09,115981909.27,65767455.18,2.09,3.69,32.91,31.06,2.73
399001.SZ,20250925,13333.0187,13529.3262,13295.5301,13445.8956,13356.1428,89.7528,0.67%,740441209.0,136987881.95,278343573.86,241081046.77,131070752.54,115970080.59,65753061.6,2.34,4.12,33.41,31.53,2.77
399001.SZ,20250924,13037.0774,13356.1428,13009.6427,13356.1428,13119.817,236.3258,1.80%,727766642.0,131107608.74,276856821.2,239812500.44,131070661.55,115971717.75,65757172.17,2.28,4.02,33.23,31.36,2.75
399001.SZ,20250923,13246.9324,13267.9042,12875.3253,13119.817,13157.9738,-38.1568,-0.29%,860542093.0,142268445.7,272335024.57,235891786.91,131058969.64,115959976.93,65696607.17,2.46,4.34,32.69,30.85,2.71
399001.SZ,20250922,13119.8267,13157.9738,13006.3557,13157.9738,13070.863,87.1108,0.67%,722197293.0,117968268.91,273438723.39,236654062.02,131031155.58,115932162.87,65696607.17,2.12,3.74,32.82,30.98,2.72
399001.SZ,20250919,13074.9051,13182.6014,13016.0648,13070.863,13075.6584,-4.7954,-0.04%,819563965.0,130748107.56,271883438.37,235069657.82,131030376.03,115918744.65,65733071.34,2.32,4.09,32.64,30.8,2.7
399001.SZ,20250918,13161.1545,13328.1008,12915.9743,13075.6584,13215.4566,-139.7982,-1.06%,1073527790.0,176919524.88,272014134.27,235189355.46,131029809.49,115918262.28,65705825.24,3.18,5.62,32.65,30.81,2.7
399001.SZ,20250917,13062.6406,13226.2022,13004.381,13215.4566,13063.9732,151.4834,1.16%,853571717.0,137005877.58,275058020.9,237732058.19,131031120.35,115906400.84,65704976.74,2.41,4.25,33.02,31.16,2.73
399001.SZ,20250916,13017.5783,13071.215,12863.8221,13063.9732,13005.7743,58.1989,0.45%,889464181.0,135161548.33,271932205.99,234923291.42,131025405.18,115860006.19,65692425.79,2.5,4.41,32.64,30.8,2.7
399001.SZ,20250915,12971.4307,13098.7763,12943.4002,13005.7743,12924.1348,81.6395,0.63%,798311125.0,129121263.67,271089761.78,234023883.38,131024963.11,115849282.43,65694786.14,2.34,4.13,32.54,30.71,2.69
399001.SZ,20250912,12941.2633,13048.5192,12905.4748,12924.1348,12979.8914,-55.7566,-0.43%,868290491.0,142711817.31,269407677.24,232687183.84,131024935.94,115849321.71,65695419.9,2.55,4.5,32.34,30.52,2.68
399001.SZ,20250911,12570.8706,12979.8914,12516.3451,12979.8914,12557.6798,422.2116,3.36%,835692601.0,142092465.42,270456894.92,233571537.9,131027142.01,115851527.77,65779866.36,2.53,4.46,32.46,30.64,2.69
399001.SZ,20250910,12511.0839,12621.1912,12415.1947,12557.6798,12510.5967,47.0831,0.38%,716827858.0,115700899.13,262678968.36,226647200.3,131027084.46,115851465.12,65787006.83,1.97,3.47,31.53,29.76,2.61
399001.SZ,20250909,12598.2945,12653.8675,12434.8443,12510.5967,12666.8414,-156.2447,-1.23%,758347025.0,120072819.73,262056383.38,226093572.5,130964688.47,115851386.77,65784724.21,2.2,3.87,31.46,29.69,2.6
399001.SZ,20250908,12631.9812,12689.1655,12511.4185,12666.8414,12590.5616,76.2798,0.61%,822135722.0,139284621.78,265042345.88,228704908.73,130971454.56,115858152.86,65784473.47,2.49,4.39,31.81,30.02,2.63
399001.SZ,20250905,12140.757,12597.8887,12085.5359,12590.5616,12118.7018,471.8598,3.89%,816494225.0,132559680.46,263177457.65,227037978.57,130970297.7,115858313.34,65784205.8,2.38,4.19,31.59,29.81,2.61
399001.SZ,20250904,12526.2994,12580.0892,11967.568,12118.7018,12471.9953,-353.2935,-2.83%,899356047.0,143636532.08,254293499.55,219240526.99,130970224.47,115856421.87,65780764.06,2.64,4.65,30.52,28.81,2.53
399001.SZ,20250903,12599.9559,12669.8034,12393.0898,12471.9953,12553.838,-81.8427,-0.65%,856848814.0,135179035.95,260889590.5,224856482.66,130969603.31,115855800.71,65780142.91,2.52,4.43,31.32,29.55,2.59
399001.SZ,20250902,12817.0336,12857.1607,12450.4649,12553.838,12828.9525,-275.1145,-2.14%,991083796.0,165221363.47,263599636.54,226826032.98,130958467.63,115848667.59,65775229.91,2.91,5.13,31.64,29.86,2.62
399001.SZ,20250901,12773.2194,12830.1815,12663.3386,12828.9525,12696.1507,132.8018,1.05%,906187103.0,154161258.93,268786156.82,231450457.26,130930328.57,115820528.53,65756264.1,2.74,4.83,32.26,30.45,2.67
399001.SZ,20250829,12568.6298,12791.1785,12508.9736,12696.1507,12571.3712,124.7795,0.99%,900391593.0,157660542.68,266751334.06,229481905.64,130929770.21,115811640.08,65760886.33,2.89,5.08,32.02,30.23,2.66
399001.SZ,20250828,12254.274,12571.3712,12199.9385,12571.3712,12295.0695,276.3017,2.25%,1060772708.0,170561717.97,263934950.84,227216779.95,130929678.03,115688335.44,65781050.8,3.06,5.38,31.68,29.93,2.64
399001.SZ,20250827,12483.1946,12665.3568,12295.0695,12295.0695,12473.174,-178.1045,-1.43%,1143640218.0,183871601.03,259175796.05,222755886.57,130921420.37,115689352.4,65747764.67,3.42,6.01,31.11,29.32,2.6
399001.SZ,20250826,12398.8132,12561.4919,12361.489,12473.174,12441.0676,32.1064,0.26%,968856013.0,156483199.59,263335685.2,226270800.11,130921265.97,115686721.13,65745508.56,2.79,4.9,31.61,29.89,2.64
399001.SZ,20250825,12291.1228,12477.9731,12246.5635,12441.0676,12166.0606,275.007,2.26%,1070803276.0,178023349.58,262666920.06,225695037.65,130922139.09,115690034.62,65728023.43,3.28,5.77,31.53,29.98,2.64
399001.SZ,20250822,11902.0368,12167.278,11902.0368,12166.0606,11919.7624,246.2982,2.07%,891655700.0,145161812.96,257245442.15,220895317.35,130922137.83,115695028.07,65740407.22,2.64,4.64,30.88,29.31,2.59
399001.SZ,20250821,11965.8011,12011.7756,11865.4647,11919.7624,11926.7408,-6.9784,-0.06%,915642356.0,142631486.3,252148254.07,216750491.25,130818600.99,115681421.73,65741714.21,2.45,4.32,30.27,28.65,2.54
399001.SZ,20250820,11749.9932,11926.7408,11677.8547,11926.7408,11821.626,105.1148,0.89%,894032918.0,139073394.77,252085678.0,216636188.67,130818600.99,115681456.24,65740917.58,2.48,4.36,30.26,28.74,2.54
399001.SZ,20250819,11827.9015,11908.6795,11774.9166,11821.626,11835.5726,-13.9466,-0.12%,943169648.0,152746970.59,249696141.27,214509128.7,130818493.19,115681337.27,65725615.78,2.44,4.29,29.97,28.47,2.52
399001.SZ,20250818,11690.9383,11919.5652,11642.5898,11835.5726,11634.6678,200.9048,1.73%,1002271708.0,163022111.03,250030620.02,214680884.65,130815834.21,115674866.5,65691141.62,2.85,5.02,30.01,28.49,2.52
399001.SZ,20250815,11419.2825,11647.3921,11419.2825,11634.6678,11451.4347,183.2331,1.60%,798946150.0,128398698.29,246094496.21,211318726.06,130816949.2,115588991.92,65686117.84,2.23,3.92,29.54,28.05,2.49
399001.SZ,20250814,11557.0043,11607.4066,11417.9271,11451.4347,11551.3649,-99.9302,-0.87%,867991461.0,132974466.41,242521570.81,208249935.45,130819319.67,115589014.5,65686257.17,2.26,3.98,29.11,27.66,2.45
399001.SZ,20250813,11371.0813,11558.5927,11362.9004,11551.3649,11351.6325,199.7324,1.76%,795541705.0,126391404.22,244541852.66,209876992.41,130817395.35,115539505.01,65682379.77,2.07,3.64,29.35,27.89,2.47
399001.SZ,20250812,11292.4576,11351.6325,11255.4826,11351.6325,11291.4261,60.2064,0.53%,709632720.0,110335900.4,240856868.52,206619155.47,130817496.73,115539486.51,65681204.13,1.71,3.01,28.91,27.51,2.43
399001.SZ,20250811,11159.0268,11311.8812,11159.0268,11291.4261,11128.6725,162.7536,1.46%,713852946.0,107564353.23,239767053.64,205683628.22,130817609.67,115539824.1,65683540.72,1.78,3.13,28.78,27.39,2.42
399001.SZ,20250808,11136.3431,11184.5515,11108.464,11128.6725,11157.9408,-29.2683,-0.26%,681934694.0,99665691.71,236622925.57,203079835.27,130819456.29,115541265.9,65682764.51,1.54,2.72,28.4,27.03,2.39
399001.SZ,20250807,11189.4886,11229.5862,11089.5791,11157.9408,11177.7818,-19.841,-0.18%,711415718.0,107578950.74,237176038.07,203007912.88,130819438.41,115439758.54,65682249.02,1.68,2.95,28.47,27.09,2.4
399001.SZ,20250806,11091.834,11177.878,11086.7167,11177.7818,11106.9569,70.8249,0.64%,695936984.0,102684680.49,237492576.04,203280091.32,130819350.43,115433660.82,65677672.4,1.62,2.85,28.51,27.12,2.4
399001.SZ,20250805,11078.5833,11106.9569,11041.4745,11106.9569,11041.5596,65.3973,0.59%,637905911.0,93969836.96,236042546.34,202078164.79,130810345.4,115430618.43,65674119.0,1.5,2.64,28.33,26.96,2.38
399001.SZ,20250804,10932.6206,11041.5596,10928.4866,11041.5596,10991.3214,50.2382,0.46%,588265628.0,85877451.28,234665132.97,200661842.49,130811701.7,115407923.86,65676978.47,1.48,2.6,28.17,26.8,2.37
399001.SZ,20250801,11001.2546,11068.3105,10919.8894,10991.3214,11009.7685,-18.4471,-0.17%,624304839.0,91370530.92,233731285.74,199849860.66,130811022.56,115406296.38,65675881.94,1.66,2.91,28.06,26.72,2.36
399001.SZ,20250731,11208.4596,11223.6411,10976.2129,11009.7685,11203.0295,-193.261,-1.73%,741311343.0,109014229.56,234126514.37,200176840.53,130810421.63,115405714.96,65673579.74,2.13,3.74,28.1,26.76,2.37
399001.SZ,20250730,11262.9764,11307.6201,11126.9987,11203.0295,11289.4059,-86.3764,-0.77%,713948129.0,102465153.76,238624103.74,203055996.43,130810521.95,115369982.37,65674184.75,1.91,3.36,28.64,27.41,2.42
399001.SZ,20250729,11199.626,11289.4203,11136.276,11289.4059,11217.5814,71.8245,0.64%,687782458.0,100956417.33,240470703.11,204414230.48,130810575.63,115369306.21,65671273.97,1.8,3.17,28.87,27.63,2.43
399001.SZ,20250728,11176.3927,11226.1825,11114.925,11217.5814,11168.1414,49.44,0.44%,684039261.0,98104184.68,247428396.69,202939669.86,130448302.18,115108789.69,65504980.97,1.88,3.31,29.7,28.43,2.5
399001.SZ,20250725,11196.2033,11210.9074,11139.3161,11168.1414,11193.0591,-24.9177,-0.22%,724401444.0,96572720.04,246522600.01,201983426.37,130448286.62,115089710.91,65504316.58,2.0,3.51,29.59,28.32,2.49
399001.SZ,20250724,11069.6039,11193.0591,11069.6039,11193.0591,11059.0374,134.0217,1.21%,742250097.0,99246609.07,247346647.82,202525087.27,130448256.37,115089718.59,65504324.27,2.12,3.72,29.69,28.44,2.5
399001.SZ,20250723,11101.3221,11158.223,11042.1968,11059.0374,11099.8309,-40.7935,-0.37%,772954593.0,100755383.24,244451874.04,200217876.41,130448339.71,115089362.9,65502698.65,2.17,3.8,29.34,28.11,2.47
399001.SZ,20250722,11004.0086,11099.8309,10970.2185,11099.8309,11007.4871,92.3438,0.84%,786153136.0,105246484.58,245423267.84,200998211.4,130442094.26,115089274.34,65502087.39,2.13,3.74,29.46,28.22,2.48
399001.SZ,20250721,10937.5997,11008.4772,10922.5228,11007.4871,10913.839,93.6481,0.86%,732596839.0,96907433.32,243017531.79,199198826.58,130454398.39,115102344.08,65518730.37,1.94,3.41,29.17,27.94,2.46
399001.SZ,20250718,10902.7243,10946.404,10865.8866,10913.839,10873.6189,40.2201,0.37%,644428695.0,92741571.16,240726213.73,197395395.56,130454932.06,115088112.36,65499157.72,1.63,2.86,28.9,27.68,2.43
399001.SZ,20250717,10718.8544,10873.6189,10718.8544,10873.6189,10720.8065,152.8124,1.43%,635545176.0,92957818.63,239537503.99,196403145.09,130454295.96,115088067.01,65499157.72,1.59,2.79,28.75,27.54,2.42
399001.SZ,20250716,10749.7137,10804.1775,10697.4024,10720.8065,10744.5615,-23.755,-0.22%,616594267.0,86961892.49,236471940.37,193835480.74,130454271.73,115080634.41,65491725.13,1.55,2.72,28.39,27.19,2.38
399001.SZ,20250715,10700.3725,10784.9679,10651.1545,10744.5615,10684.5167,60.0448,0.56%,725709818.0,96519610.56,236924114.58,194336114.9,130454102.56,115080409.91,65490079.99,1.79,3.15,28.44,27.24,2.39
399001.SZ,20250714,10705.4389,10715.0744,10663.8695,10684.5167,10696.0974,-11.5807,-0.11%,646463330.0,83563635.95,236031504.08,193655645.61,130453161.98,115079469.33,65496105.18,1.55,2.73,28.33,27.15,2.38
399001.SZ,20250711,10637.4485,10757.2405,10610.8016,10696.0974,10631.1263,64.9711,0.61%,742645890.0,95856956.26,236455878.73,193811609.44,130462545.79,115079672.01,65496026.68,1.99,3.5,28.38,27.2,2.38
399001.SZ,20250710,10593.7034,10667.4123,10562.1605,10631.1263,10581.7979,49.3284,0.47%,701359248.0,88098722.18,235118553.14,192746784.1,130468814.01,115086026.69,65501873.14,1.71,3.0,28.22,27.05,2.37
399001.SZ,20250709,10592.5076,10656.5828,10557.8132,10581.7979,10588.3948,-6.5969,-0.06%,702950075.0,90921365.44,234085474.04,191680058.73,130340032.24,115086232.07,65497554.2,1.6,2.81,28.1,26.93,2.36
399001.SZ,20250708,10431.778,10593.8374,10431.778,10588.3948,10435.5065,152.8883,1.47%,665860082.0,88643160.87,234179664.06,191747863.48,130339938.97,115083459.84,65557976.53,1.53,2.69,28.11,26.94,2.36
399001.SZ,20250707,10488.1077,10501.3064,10426.5468,10435.5065,10508.7609,-73.2544,-0.70%,578492942.0,73244394.06,231316590.05,189195296.74,130339621.36,115082456.61,65562355.16,1.26,2.21,27.77,26.61,2.33
399001.SZ,20250704,10534.9913,10610.5009,10480.7189,10508.7609,10534.5841,-25.8232,-0.25%,667051159.0,86130367.8,232651911.57,190316569.44,130334958.58,115082258.83,65562355.16,1.5,2.63,27.93,26.77,2.34
399001.SZ,20250703,10431.0259,10546.7356,10431.0259,10534.5841,10412.6284,121.9557,1.17%,638445111.0,80952188.7,233084998.36,190547967.57,130334923.97,115081901.58,65603979.93,1.38,2.42,27.98,26.82,2.35
399001.SZ,20250702,10455.8261,10455.8261,10386.4935,10412.6284,10476.294,-63.6656,-0.61%,678272984.0,83383648.34,230630242.1,188499407.47,130318280.46,115066096.49,65500937.87,1.51,2.65,27.68,26.53,2.32
399001.SZ,20250701,10458.3892,10483.3295,10407.1657,10476.294,10465.1199,11.1741,0.11%,695078612.0,91245867.41,231865897.06,189374286.79,130312709.61,114973493.54,65498855.87,1.52,2.67,27.83,26.68,2.33
399001.SZ,20250630,10405.9636,10470.2399,10399.9204,10465.1199,10378.5502,86.5697,0.83%,675662995.0,91971979.07,231613333.22,189027778.75,130312709.61,114939861.73,65475538.32,1.61,2.83,27.8,26.65,2.33
399001.SZ,20250627,10371.8138,10455.507,10343.3009,10378.5502,10343.4784,35.0718,0.34%,698391693.0,93536924.24,230006825.61,187664170.66,130312463.84,114939516.74,65475439.09,1.78,3.12,27.61,26.46,2.31
399001.SZ,20250626,10389.2318,10440.7253,10340.692,10343.4784,10393.7241,-50.2457,-0.48%,721001585.0,98005615.04,229535349.55,187151056.76,130301586.05,114939157.76,65478280.12,1.69,2.96,27.55,26.41,2.31
399001.SZ,20250625,10240.1309,10403.5076,10233.1504,10393.7241,10217.6287,176.0954,1.72%,720493534.0,98256708.23,231077310.65,188017842.81,130302695.12,114940266.83,65486660.66,1.76,3.09,27.74,26.59,2.32
399001.SZ,20250624,10074.2725,10224.1216,10074.2725,10217.6287,10048.3935,169.2352,1.68%,666588581.0,86969963.53,227322510.91,185024939.1,130302660.41,114940170.18,65484584.19,1.46,2.56,27.29,26.15,2.28
399001.SZ,20250623,9950.1389,10064.7523,9950.1389,10048.3935,10005.0319,43.3616,0.43%,537795224.0,67981732.57,223735491.97,182160867.96,130262002.43,114940952.21,65484810.48,1.12,1.97,26.86,25.74,2.25
399001.SZ,20250620,10039.0008,10084.1007,9998.4983,10005.0319,10051.9655,-46.9336,-0.47%,514811214.0,65681280.54,223000939.64,181496275.59,130263215.53,114941914.85,65407628.87,1.07,1.89,26.77,25.66,2.24
399001.SZ,20250619,10156.1742,10181.9707,10027.3253,10051.9655,10175.5883,-123.6228,-1.21%,610114878.0,77736531.1,223948125.56,182203901.08,130226623.72,114910240.01,65380228.96,1.27,2.23,26.88,25.77,2.25
399001.SZ,20250618,10142.583,10190.0355,10118.6754,10175.5883,10151.4267,24.1616,0.24%,587501533.0,75005610.52,226816170.1,184411225.0,130226014.99,114912289.28,65382778.6,1.19,2.09,27.23,26.1,2.28
399001.SZ,20250617,10177.6716,10198.9848,10129.4118,10151.4267,10163.5471,-12.1204,-0.12%,596927008.0,74917491.22,226291992.65,184095588.5,130225906.2,114912180.49,65373272.24,1.25,2.19,27.16,26.03,2.27
399001.SZ,20250616,10096.5713,10173.0607,10096.5713,10163.5471,10122.114,41.4331,0.41%,568501402.0,73348122.41,226670965.12,184259099.1,130213963.48,114846601.6,65372656.22,1.23,2.16,27.21,26.08,2.27
399001.SZ,20250613,10193.9287,10215.5446,10089.5927,10122.114,10234.3346,-112.2206,-1.10%,698026044.0,86181244.81,223824274.19,182161481.52,131176773.19,115880543.17,65905471.92,1.53,2.7,27.07,25.99,2.22
399001.SZ,20250612,10208.2975,10263.4633,10182.4131,10234.3346,10246.0203,-11.6857,-0.11%,605519274.0,77014395.93,226182687.96,183991087.18,131140613.22,115797935.27,65873219.67,1.23,2.16,27.36,26.26,2.24
399001.SZ,20250611,10176.495,10295.399,10176.495,10246.0203,10162.1811,83.8392,0.82%,615814142.0,75365111.76,226821078.05,184264177.25,131142637.07,115797307.16,65872232.54,1.23,2.17,27.44,26.33,2.24
